日期,时间,发言人,类别,金额,备注
2024-01-15,12:30:45,张三,餐饮,45.00,中午吃饭花了45块，AA一下
2024-01-15,12:32:00,张三,转账,200.00,[转账]你收到了一笔转账¥200.00
2024-01-15,18:00:00,王五,交通,35.50,今天打车花了35.5，加油300，停车费20
2024-01-15,18:00:00,王五,交通,300.00,今天打车花了35.5，加油300，停车费20
2024-01-15,18:00:00,王五,交通,20.00,今天打车花了35.5，加油300，停车费20
2024-01-16,08:00:00,赵六,餐饮,10.00,早餐10元，午餐25，一共35块
2024-01-16,08:00:00,赵六,餐饮,25.00,早餐10元，午餐25，一共35块
2024-01-16,08:00:00,赵六,餐饮,35.00,早餐10元，午餐25，一共35块
2024-01-16,15:00:00,王五,交通,598.00,高铁票598，酒店一晚350
2024-01-16,18:00:00,赵六,餐饮,88.00,今晚聚餐，人均88
2024-01-17,10:00:00,张三,餐饮,15.50,外卖点了个奶茶15.5
2024-01-17,16:00:00,王五,购物,1299.00,"京东买了台显示器花了1,299"
2024-01-17,20:00:00,赵六,餐饮,50.00,转账给你50，上次的饭钱
2024-01-18,09:00:00,张三,餐饮,32.00,咖啡32块，早餐15块，总共47
2024-01-18,09:00:00,张三,餐饮,15.00,咖啡32块，早餐15块，总共47
2024-01-18,09:00:00,张三,餐饮,47.00,咖啡32块，早餐15块，总共47
2024-01-18,10:00:00,李四,娱乐,60.00,电影票两张80，KTV唱歌人均60
